"objectIdFieldName","uniqueIdField__name","uniqueIdField__isSystemMaintained","globalIdFieldName","geometryType","spatialReference__wkid","spatialReference__latestWkid","transform__originPosition","transform__scale","transform__translate","fields__name","fields__type","fields__alias","fields__sqlType","fields__length","fields__domain","fields__defaultValue","exceededTransferLimit","features__attributes__OBJECTID","features__attributes__PID","features__attributes__Prop_Addr","features__attributes__Prop_Num","features__attributes__Prop_Dir","features__attributes__PropStreet","features__attributes__Prop_Zip","features__attributes__OwnerName","features__attributes__OwnerAddr","features__attributes__OwnerCity","features__attributes__OwnerState","features__attributes__OwnerZip","features__attributes__TaxPName","features__attributes__TaxPAddres","features__attributes__TaxPCity","features__attributes__TaxPState","features__attributes__TaxPZip","features__attributes__Homestead","features__attributes__TaxExempt","features__attributes__SEV","features__attributes__Zoning_Dis","features__attributes__WARDx","features__attributes__PRECINCTx","features__attributes__TAXSTATx","features__attributes__Land_Usex","features__attributes__ECF","features__attributes__OwnerCode","features__attributes__Class","features__attributes__ParcelTxt","features__attributes__PIDdash","features__attributes__HCond2014","features__attributes__CCond2013","features__attributes__HCond2012","features__attributes__DPVACT","features__attributes__DPVNOST","features__attributes__CenTract","features__attributes__CenBlock","features__attributes__lowmod_pct","features__attributes__MP_Landuse","features__attributes__DRAFT_Zone"
"OBJECTID","OBJECTID","True","","esriGeometryPolygon","102100","3857","upperLeft","0.0001","-20037700","OBJECTID","esriFieldTypeOID","OBJECTID","sqlTypeOther","","null","null","True","1","4012485002","E SECOND AVE","0","E","SECOND AVE","48502","607 EAST SECOND AVE LLC","401 S WASHINGTON SQ","LANSING","MI","48933","607 EAST SECOND AVE LLC","401 S WASHINGTON SQ","LANSING","MI","48933","0","0","400","D-5","5"," ","TAXABLE","PARKS","900","Privately Owned","RW","4012485002","40-12-485-002"," "," "," "," "," ","002800","2","0.5954"," "," "
"","","","","","","","","0.0001","-30241100","PID","esriFieldTypeDouble","PID","sqlTypeOther","","null","null","","2","4732354027","W BOULEVARD DR","0","W","BOULEVARD DR","48505","MICH STATE HWY COMM","W BOULEVARD DR","FLINT","MI","48505","MICH STATE HWY COMM","W BOULEVARD DR","FLINT","MI","48505","0","1","0","ROW","3"," ","STATE ROAD","Public","000","State Owned","RW","4732354027","47-32-354-027"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","0","0","Prop_Addr","esriFieldTypeString","Prop_Addr","sqlTypeOther","60","null","null","","3","4732353032","NEW JERSEY AVE","0"," ","NEW JERSEY AVE","48505","MICH STATE HWY COMM","NEW JERSEY AVE","FLINT","MI","48505","MICH STATE HWY COMM","NEW JERSEY AVE","FLINT","MI","48505","0","1","0","ROW","3"," ","STATE ROAD","Public","000","State Owned","RW","4732353032","47-32-353-032"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","0","0","Prop_Num","esriFieldTypeDouble","Prop_Num","sqlTypeOther","","null","null","","4","4732355023","W BOULEVARD DR","0","W","BOULEVARD DR","48505","MICH STATE HWY COMM","W BOULEVARD DR","FLINT","MI","48505","MICH STATE HWY COMM","W BOULEVARD DR","FLINT","MI","48505","0","1","0","ROW","3"," ","STATE ROAD","Public","000","State Owned","RW","4732355023","47-32-355-023"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","","","Prop_Dir","esriFieldTypeString","Prop_Dir","sqlTypeOther","3","null","null","","5","4732356023","W BOULEVARD DR","0","W","BOULEVARD DR","48505","MICH STATE HWY COMM","W BOULEVARD DR","FLINT","MI","48505","MICH STATE HWY COMM","W BOULEVARD DR","FLINT","MI","48505","0","1","0","ROW","3"," ","STATE ROAD","Public","000","State Owned","RW","4732356023","47-32-356-023"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","","","PropStreet","esriFieldTypeString","PropStreet","sqlTypeOther","50","null","null","","6","4108427058","ROBERT T LONGWAY","0"," ","ROBERT T LONGWAY","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4108427058","41-08-427-058"," "," "," "," "," ","003000","2","0.3614"," "," "
"","","","","","","","","","","Prop_Zip","esriFieldTypeInteger","Prop_Zip","sqlTypeOther","","null","null","","7","4012155020","CONCORD ST","0"," ","CONCORD ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","5"," ","CITY MISC","Public","000","City Owned","RW","4012155020","40-12-155-020"," "," "," "," "," ","001500","1","0.8308"," "," "
"","","","","","","","","","","OwnerName","esriFieldTypeString","OwnerName","sqlTypeOther","80","null","null","","8","4731487011","MASSACHUSETTS AV","0"," ","MASSACHUSETTS AV","48505","MICH STATE HWY COMM","MASSACHUSETTS AV","FLINT","MI","48505","MICH STATE HWY COMM","MASSACHUSETTS AV","FLINT","MI","48505","0","1","0","ROW","3"," ","STATE ROAD","Public","000","State Owned","RW","4731487011","47-31-487-011"," "," "," "," "," ","980100","1","0"," "," "
"","","","","","","","","","","OwnerAddr","esriFieldTypeString","OwnerAddr","sqlTypeOther","80","null","null","","9","4011481026","CADILLAC ST","0"," ","CADILLAC ST","48504","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","6"," ","CITY MISC","Public","000","City Owned","RW","4011481026","40-11-481-026"," "," "," "," "," ","001600","2","0.4272"," "," "
"","","","","","","","","","","OwnerCity","esriFieldTypeString","OwnerCity","sqlTypeOther","30","null","null","","10","4118254040","LAPEER ST","0"," ","LAPEER ST","48503","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","CITY OF FLINT","1101 S SAGINAW ST","FLINT","MI","48502","0","1","0","ROW","7"," ","CITY MISC","Public","000","City Owned","RW","4118254040","41-18-254-040"," "," "," "," "," ","002900","2","0.6596"," "," "
